"","L1","LIN35","L2","L3","L4","L4MALE","YA","AdultSPE9"
"Y48G8AR.2",3.15807360785595,1.91466401627291,2.27019700958794,1.0469449959264,0.610809653666208,2.90731757015151,0.798486057871557,1.33655761669881
"K12C11.4",3.60339490181968,3.9441275450236,4.3593173458382,4.22380865860602,3.9204743404087,4.30421896871636,3.19421315631121,2.83049872799373
"K12C11.3",5.98403558823147,6.28285861507318,5.07068985805411,4.55913078836157,5.50134359927713,6.41604590619452,3.90071226835234,2.67498936206185
"K12C11.6",4.99083689937631,6.55030813941325,5.38075022449221,4.66700080698827,4.93959801917841,4.94663729711677,4.25680687596393,4.46930643814354
"K12C11.7",4.10530931224056,4.80044437630527,4.11337545615889,3.46317775787019,3.94542042531509,3.34849305544284,3.30721283344716,2.43195184064864
"K12C11.2",9.8320181225004,9.50364489298564,9.01854516009979,9.01460356960657,9.74122258394717,8.35903791878709,9.64523871100491,10.1382718001722
"K12C11.1",5.47174348679543,5.48094364965028,5.50584012971443,6.40456086371713,5.67476570049579,5.78911365362568,5.78723654643467,5.61462740204308
"Y92H12BL.1",4.39358094497138,4.4073119580551,3.70892660710658,4.08117769016336,4.48511764510507,3.88501787263689,4.47558429073681,4.74596871466424
"Y92H12BL.5",6.38759518147019,7.22594968552515,4.66399351538172,5.05629305270831,4.91825741663825,5.98237074343938,5.42126033409505,6.46236975532969
"Y92H12BL.4",3.0038972214667,3.32756090727587,2.87400213376867,2.70785384333013,2.9025405702098,2.79973181461438,3.17613125173735,4.17570821965308
"Y92H12BM.1",3.69081934015993,3.91388511056983,3.93013175157781,3.33901335343341,2.95039189142644,3.10966645187736,3.61316621818962,4.47754134002603
"Y92H12BR.7",1.65383047196759,2.470661802149,2.05585159115595,1.80000320954358,2.08820266921401,1.62075061029899,2.57978355900252,4.02138200460915
"Y92H12BR.6",3.04646137480548,3.12876850137702,3.34178512183889,3.55618414257566,3.67052312559378,2.01113062517054,3.93124810308651,3.60805222046695
"Y92H12BR.2",5.13479593138644,4.93040618922355,5.07239739783121,4.84199827029512,5.46120111331044,4.68014991749093,5.96052561063377,6.74468586118874
