"","DauerEntryDAF2","DauerDAF2","DauerExitDAF2","YA","AdultSPE9"
"F01F1.15",4.61619299638108,4.83251537102291,5.00526972608316,5.13498070146557,4.83384137293594
"F01F1.11",3.9226831061385,4.62938576513958,3.74839682553775,5.00958007739697,4.78566562797231
"F01F1.3",5.95564525835257,5.82629933077457,5.46630409245328,4.65694249591114,3.68685905537813
"F01F1.12",9.48571662519079,10.8504056480351,9.86465509911205,9.81783107759935,10.2301645778843
"F01F1.2",5.49646874109319,6.20988221122127,5.08221718179826,7.06474276475026,5.79689361323668
"F01F1.1",4.55576094883801,5.12570068931896,4.39597448117154,4.52036567114096,4.51942238791816
"F01F1.14",6.20283691207972,4.99504124039549,4.42594934037917,2.00389002743337,0.927836545568706
"C28H8.5",3.3595689596121,1.51398587642519,0.969405816629817,1.59885586688763,0.727574601832185
"C28H8.6",6.90021473149875,6.27101287418114,5.63130221725923,5.36247690232111,4.46265440704339
"C28H8.9",5.19925223368966,5.23094461765087,4.74491992582385,6.15314867936597,7.08310697088613
"C28H8.4",6.99675027884918,7.26351334616441,7.08733553901273,7.31429773573429,7.96492995629172
"C28H8.3",6.71904650392994,7.93305325009819,7.00695996759644,6.34344868623378,6.12980847443591
"C28H8.11",8.49240602345775,8.58756751814138,7.65968913108332,7.1050704023587,6.00991369328683
"C28H8.2",2.68401751646333,4.28915573732633,2.31619499007868,1.80155187661524,1.09788043405191
"C28H8.12",4.77137325689005,4.82002574772674,5.00811035365319,5.73648311234248,5.95068069679905
"C28H8.1",4.32137255034743,4.17895361006993,4.38600385976687,5.19426044254267,6.54000246342113
"EGAP1.3",1.27000259906834,1.24786069233635,1.19979482150212,1.25662423809166,0.553656385228755
"F25B5.4",8.35701089251289,8.60086812539631,8.19459435743385,8.68160035806223,9.82605108487269
"F25B5.5",4.61611652184623,5.26569192566648,4.68965140352959,4.78763096770372,4.32726340244848
"F25B5.6",5.89186388446188,6.74851490369621,5.81493744857212,5.64064406279313,5.67379383859104
"F25B5.7",5.89990549593286,5.34982878498297,5.45656633709165,5.77884723766507,7.13982758670418
"F25B5.3",8.05569457521,7.64437546652524,7.25675593590728,7.96948437663978,7.68936905685823
"F25B5.2",3.16211656108734,3.92717587417948,3.19198421735959,5.52380343045189,5.99077337790844
"F25B5.9",0,0,9.19293386982052,2.46280096441282,0
"F25B5.1",5.18470875406938,5.11879991004381,4.20247257585708,4.44695755331711,3.03871535195574
"T04C9.4",7.26182225834202,4.67642539187593,7.371497877837,7.93603718171719,5.80143288697705
"T04C9.6",5.88309290445168,5.65143922883644,5.33197745149716,3.91222829878362,3.53856299465606
"T04C9.10",9.17046090317984,9.64046367415046,0,2.0390927604954,0
"T04C9.3",3.19247983481306,0,0,0,0
"T04C9.12",0,13.3435743799984,0,0,0
"T04C9.11",7.14567745519564,7.87928916714917,0,0,2.13256697243072
"T04C9.8",0,8.09701551999433,0,1.95243421600108,2.21148885844965
"T04C9.1",5.90122411748073,6.19328287865243,5.17653820327024,5.2665429482413,5.77757226225894
"ZK328.4",3.01838135991627,4.24688687916664,3.0421242431539,5.21190386486377,4.94983371269985
"ZK328.2",5.4909455160349,5.59170634156706,6.03870174585068,6.26765564314613,6.84797185954862
"ZK328.5",5.19832520069977,5.2656169216352,4.83480221556554,6.34500598300872,7.34699233599603
